y,1,2,3,4,5,6,7,8,9,10,11,12
2016,,,,,,,,,0.0,0.0,0.0,0.17
2017,0.84,1.14,-0.1,1.53,0.01,-2.26,0.79,4.58,-3.25,-1.98,-0.54,2.62
2018,3.77,-2.36,0.25,-0.73,-1.2,-2.77,-0.66,-0.56,0.03,0.53,0.19,5.32
2019,3.4,-0.66,-2.08,-1.02,2.05,7.81,1.38,5.81,-1.95,1.6,-2.18,3.14
2020,4.54,-0.03,-4.08,2.68,1.15,0.96,7.34,-0.63,-2.41,-0.28,-2.89,2.59
2021,-2.57,-1.54,-0.33,1.04,5.83,-5.21,0.51,-0.24,-2.89,0.9,-0.29,2.26
2022,-1.58,5.48,1.54,-1.4,-2.3,-1.22,-0.56,-1.15,-0.54,-0.9,4.34,1.78
2023,3.6,-3.65,5.77,0.58,-0.69,-1.78,1.07,-0.85,-2.09,4.42,2.92,1.0
2024,-0.87,0.11,7.82,1.97,1.11,-0.12,3.52,1.63,3.87,3.22,-2.96,-0.76
2025,4.82,1.45,7.35,3.16,0.15,0.35,-0.5,2.96,8.81,3.28,2.86,1.16
2026,6.85,2.24,-3.52,-0.55,-0.48,-3.27,0.01,3.94,-1.24,,,
