thresh,floor,sharpe,cagr,dd,calmar
-0.6,0.0,0.972,10.13,-18.0,0.562
-0.6,0.25,0.985,10.31,-17.07,0.604
-0.6,0.4,0.991,10.41,-16.59,0.627
-0.5,0.0,0.913,9.29,-16.76,0.554
-0.5,0.25,0.944,9.68,-15.87,0.61
-0.5,0.4,0.96,9.91,-15.61,0.635
-0.35,0.0,0.985,9.84,-12.47,0.79
-0.35,0.25,1.004,10.1,-12.13,0.833
-0.35,0.4,1.009,10.25,-12.73,0.805
-0.2,0.0,0.783,7.4,-19.66,0.377
-0.2,0.25,0.86,8.27,-18.15,0.456
-0.2,0.4,0.899,8.78,-17.44,0.504
0.0,0.0,0.773,6.89,-16.16,0.426
0.0,0.25,0.865,7.89,-14.56,0.542
0.0,0.4,0.908,8.48,-13.63,0.622
